group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encaps kyber-512,,,,,619300.0,ns,1
encaps kyber-512,,,,,1233900.0,ns,2
encaps kyber-512,,,,,1834700.0,ns,3
encaps kyber-512,,,,,2443300.0,ns,4
encaps kyber-512,,,,,3238200.0,ns,5
encaps kyber-512,,,,,3967900.0,ns,6
encaps kyber-512,,,,,4384300.0,ns,7
encaps kyber-512,,,,,4940600.0,ns,8
encaps kyber-512,,,,,5647600.0,ns,9
encaps kyber-512,,,,,6112000.0,ns,10
encaps kyber-512,,,,,6790500.0,ns,11
encaps kyber-512,,,,,7401300.0,ns,12
encaps kyber-512,,,,,7960600.0,ns,13
encaps kyber-512,,,,,9603000.0,ns,14
encaps kyber-512,,,,,9311100.0,ns,15
encaps kyber-512,,,,,9685700.0,ns,16
encaps kyber-512,,,,,10474900.0,ns,17
encaps kyber-512,,,,,11201500.0,ns,18
encaps kyber-512,,,,,11783500.0,ns,19
encaps kyber-512,,,,,12199500.0,ns,20
encaps kyber-512,,,,,12813300.0,ns,21
encaps kyber-512,,,,,13550400.0,ns,22
encaps kyber-512,,,,,14183200.0,ns,23
encaps kyber-512,,,,,14738700.0,ns,24
encaps kyber-512,,,,,15573900.0,ns,25
encaps kyber-512,,,,,16127300.0,ns,26
encaps kyber-512,,,,,16841400.0,ns,27
encaps kyber-512,,,,,17490400.0,ns,28
encaps kyber-512,,,,,17779300.0,ns,29
encaps kyber-512,,,,,18872600.0,ns,30
encaps kyber-512,,,,,19101400.0,ns,31
encaps kyber-512,,,,,20140100.0,ns,32
encaps kyber-512,,,,,20335300.0,ns,33
encaps kyber-512,,,,,21098400.0,ns,34
encaps kyber-512,,,,,22015300.0,ns,35
encaps kyber-512,,,,,22662400.0,ns,36
encaps kyber-512,,,,,22973100.0,ns,37
encaps kyber-512,,,,,23231500.0,ns,38
encaps kyber-512,,,,,24092600.0,ns,39
encaps kyber-512,,,,,24558200.0,ns,40
encaps kyber-512,,,,,25650800.0,ns,41
encaps kyber-512,,,,,25857400.0,ns,42
encaps kyber-512,,,,,26487100.0,ns,43
encaps kyber-512,,,,,27140500.0,ns,44
encaps kyber-512,,,,,28046200.0,ns,45
encaps kyber-512,,,,,28776300.0,ns,46
encaps kyber-512,,,,,29324000.0,ns,47
encaps kyber-512,,,,,30454800.0,ns,48
encaps kyber-512,,,,,30962300.0,ns,49
encaps kyber-512,,,,,30966700.0,ns,50
encaps kyber-512,,,,,31379700.0,ns,51
encaps kyber-512,,,,,32256300.0,ns,52
encaps kyber-512,,,,,32865000.0,ns,53
encaps kyber-512,,,,,34614400.0,ns,54
encaps kyber-512,,,,,34581300.0,ns,55
encaps kyber-512,,,,,34687700.0,ns,56
encaps kyber-512,,,,,35422900.0,ns,57
encaps kyber-512,,,,,36406500.0,ns,58
encaps kyber-512,,,,,37305800.0,ns,59
encaps kyber-512,,,,,37482300.0,ns,60
encaps kyber-512,,,,,37878600.0,ns,61
encaps kyber-512,,,,,38296900.0,ns,62
encaps kyber-512,,,,,38837200.0,ns,63
encaps kyber-512,,,,,39889800.0,ns,64
encaps kyber-512,,,,,40270800.0,ns,65
encaps kyber-512,,,,,41493700.0,ns,66
encaps kyber-512,,,,,41628300.0,ns,67
encaps kyber-512,,,,,42081000.0,ns,68
encaps kyber-512,,,,,42629500.0,ns,69
encaps kyber-512,,,,,43261300.0,ns,70
encaps kyber-512,,,,,44011200.0,ns,71
encaps kyber-512,,,,,44835700.0,ns,72
encaps kyber-512,,,,,45207500.0,ns,73
encaps kyber-512,,,,,46063300.0,ns,74
encaps kyber-512,,,,,45989900.0,ns,75
encaps kyber-512,,,,,47191400.0,ns,76
encaps kyber-512,,,,,47734800.0,ns,77
encaps kyber-512,,,,,48302400.0,ns,78
encaps kyber-512,,,,,49286100.0,ns,79
encaps kyber-512,,,,,49700800.0,ns,80
encaps kyber-512,,,,,51488100.0,ns,81
encaps kyber-512,,,,,50473000.0,ns,82
encaps kyber-512,,,,,51532400.0,ns,83
encaps kyber-512,,,,,52307500.0,ns,84
encaps kyber-512,,,,,53171200.0,ns,85
encaps kyber-512,,,,,53365900.0,ns,86
encaps kyber-512,,,,,54483000.0,ns,87
encaps kyber-512,,,,,55277400.0,ns,88
encaps kyber-512,,,,,56330400.0,ns,89
encaps kyber-512,,,,,55738600.0,ns,90
encaps kyber-512,,,,,62301000.0,ns,91
encaps kyber-512,,,,,57106200.0,ns,92
encaps kyber-512,,,,,58528200.0,ns,93
encaps kyber-512,,,,,57422700.0,ns,94
encaps kyber-512,,,,,58588000.0,ns,95
encaps kyber-512,,,,,59686000.0,ns,96
encaps kyber-512,,,,,59918700.0,ns,97
encaps kyber-512,,,,,61585100.0,ns,98
encaps kyber-512,,,,,61479500.0,ns,99
encaps kyber-512,,,,,62346700.0,ns,100
