group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encaps sike-P434,,,,,39186000.0,ns,1
encaps sike-P434,,,,,72714300.0,ns,2
encaps sike-P434,,,,,108482500.0,ns,3
encaps sike-P434,,,,,145497000.0,ns,4
encaps sike-P434,,,,,180689300.0,ns,5
encaps sike-P434,,,,,217281800.0,ns,6
encaps sike-P434,,,,,253251600.0,ns,7
encaps sike-P434,,,,,288460200.0,ns,8
encaps sike-P434,,,,,324396300.0,ns,9
encaps sike-P434,,,,,368117500.0,ns,10
encaps sike-P434,,,,,400285200.0,ns,11
encaps sike-P434,,,,,432486200.0,ns,12
encaps sike-P434,,,,,470167600.0,ns,13
encaps sike-P434,,,,,506545600.0,ns,14
encaps sike-P434,,,,,542832600.0,ns,15
encaps sike-P434,,,,,580351800.0,ns,16
encaps sike-P434,,,,,623747900.0,ns,17
encaps sike-P434,,,,,649869500.0,ns,18
encaps sike-P434,,,,,701310900.0,ns,19
encaps sike-P434,,,,,734342300.0,ns,20
encaps sike-P434,,,,,769879700.0,ns,21
encaps sike-P434,,,,,796702000.0,ns,22
encaps sike-P434,,,,,830917400.0,ns,23
encaps sike-P434,,,,,867369200.0,ns,24
encaps sike-P434,,,,,904393800.0,ns,25
encaps sike-P434,,,,,940404100.0,ns,26
encaps sike-P434,,,,,979452800.0,ns,27
encaps sike-P434,,,,,1010638400.0,ns,28
encaps sike-P434,,,,,1050118500.0,ns,29
encaps sike-P434,,,,,1084294400.0,ns,30
encaps sike-P434,,,,,1144015200.0,ns,31
encaps sike-P434,,,,,1167000300.0,ns,32
encaps sike-P434,,,,,1192714800.0,ns,33
encaps sike-P434,,,,,1235757700.0,ns,34
encaps sike-P434,,,,,1268030600.0,ns,35
encaps sike-P434,,,,,1303256100.0,ns,36
encaps sike-P434,,,,,1366334900.0,ns,37
encaps sike-P434,,,,,1375703800.0,ns,38
encaps sike-P434,,,,,1411250800.0,ns,39
encaps sike-P434,,,,,1450930800.0,ns,40
encaps sike-P434,,,,,1482759800.0,ns,41
encaps sike-P434,,,,,1516884700.0,ns,42
encaps sike-P434,,,,,1555047700.0,ns,43
encaps sike-P434,,,,,1588292300.0,ns,44
encaps sike-P434,,,,,1631184500.0,ns,45
encaps sike-P434,,,,,1662576200.0,ns,46
encaps sike-P434,,,,,1699098900.0,ns,47
encaps sike-P434,,,,,1745263200.0,ns,48
encaps sike-P434,,,,,1816166200.0,ns,49
encaps sike-P434,,,,,1810361200.0,ns,50
encaps sike-P434,,,,,1857904200.0,ns,51
encaps sike-P434,,,,,1889316800.0,ns,52
encaps sike-P434,,,,,1923092500.0,ns,53
encaps sike-P434,,,,,1949170300.0,ns,54
encaps sike-P434,,,,,1989826900.0,ns,55
encaps sike-P434,,,,,2030315400.0,ns,56
encaps sike-P434,,,,,2082313900.0,ns,57
encaps sike-P434,,,,,2093738800.0,ns,58
encaps sike-P434,,,,,2136548100.0,ns,59
encaps sike-P434,,,,,2188468200.0,ns,60
encaps sike-P434,,,,,2212475300.0,ns,61
encaps sike-P434,,,,,2276880200.0,ns,62
encaps sike-P434,,,,,2277778200.0,ns,63
encaps sike-P434,,,,,2318545100.0,ns,64
encaps sike-P434,,,,,2352280400.0,ns,65
encaps sike-P434,,,,,2390333500.0,ns,66
encaps sike-P434,,,,,2424173500.0,ns,67
encaps sike-P434,,,,,2459574100.0,ns,68
encaps sike-P434,,,,,2496947000.0,ns,69
encaps sike-P434,,,,,2548033900.0,ns,70
encaps sike-P434,,,,,2576954800.0,ns,71
encaps sike-P434,,,,,2604935100.0,ns,72
encaps sike-P434,,,,,2640698100.0,ns,73
encaps sike-P434,,,,,2683720700.0,ns,74
encaps sike-P434,,,,,2713858100.0,ns,75
encaps sike-P434,,,,,2757240500.0,ns,76
encaps sike-P434,,,,,2783174700.0,ns,77
encaps sike-P434,,,,,2833327700.0,ns,78
encaps sike-P434,,,,,2868430800.0,ns,79
encaps sike-P434,,,,,2900667300.0,ns,80
encaps sike-P434,,,,,2960682400.0,ns,81
encaps sike-P434,,,,,2990721800.0,ns,82
encaps sike-P434,,,,,3066150000.0,ns,83
encaps sike-P434,,,,,3038222900.0,ns,84
encaps sike-P434,,,,,3074824600.0,ns,85
encaps sike-P434,,,,,3126760200.0,ns,86
encaps sike-P434,,,,,3152770400.0,ns,87
encaps sike-P434,,,,,3190166900.0,ns,88
encaps sike-P434,,,,,3217231000.0,ns,89
encaps sike-P434,,,,,3267251900.0,ns,90
encaps sike-P434,,,,,3295471600.0,ns,91
encaps sike-P434,,,,,3324555100.0,ns,92
encaps sike-P434,,,,,3391442700.0,ns,93
encaps sike-P434,,,,,3407184600.0,ns,94
encaps sike-P434,,,,,3439541100.0,ns,95
encaps sike-P434,,,,,3469721300.0,ns,96
encaps sike-P434,,,,,3523031600.0,ns,97
encaps sike-P434,,,,,3578128400.0,ns,98
encaps sike-P434,,,,,3581774600.0,ns,99
encaps sike-P434,,,,,3631644400.0,ns,100
