group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen+decaps kyber-512,,,,,1281100.0,ns,1
gen+decaps kyber-512,,,,,2458600.0,ns,2
gen+decaps kyber-512,,,,,3764600.0,ns,3
gen+decaps kyber-512,,,,,5056000.0,ns,4
gen+decaps kyber-512,,,,,6206500.0,ns,5
gen+decaps kyber-512,,,,,8025400.0,ns,6
gen+decaps kyber-512,,,,,8998100.0,ns,7
gen+decaps kyber-512,,,,,10117100.0,ns,8
gen+decaps kyber-512,,,,,11436900.0,ns,9
gen+decaps kyber-512,,,,,12600600.0,ns,10
gen+decaps kyber-512,,,,,14095800.0,ns,11
gen+decaps kyber-512,,,,,15474000.0,ns,12
gen+decaps kyber-512,,,,,17002600.0,ns,13
gen+decaps kyber-512,,,,,17742200.0,ns,14
gen+decaps kyber-512,,,,,19115400.0,ns,15
gen+decaps kyber-512,,,,,20474300.0,ns,16
gen+decaps kyber-512,,,,,21313500.0,ns,17
gen+decaps kyber-512,,,,,22728900.0,ns,18
gen+decaps kyber-512,,,,,23972600.0,ns,19
gen+decaps kyber-512,,,,,25983900.0,ns,20
gen+decaps kyber-512,,,,,26514000.0,ns,21
gen+decaps kyber-512,,,,,27659400.0,ns,22
gen+decaps kyber-512,,,,,29033000.0,ns,23
gen+decaps kyber-512,,,,,29945400.0,ns,24
gen+decaps kyber-512,,,,,31428100.0,ns,25
gen+decaps kyber-512,,,,,32804600.0,ns,26
gen+decaps kyber-512,,,,,34212700.0,ns,27
gen+decaps kyber-512,,,,,35526900.0,ns,28
gen+decaps kyber-512,,,,,37003300.0,ns,29
gen+decaps kyber-512,,,,,38481800.0,ns,30
gen+decaps kyber-512,,,,,39093100.0,ns,31
gen+decaps kyber-512,,,,,40150800.0,ns,32
gen+decaps kyber-512,,,,,41586200.0,ns,33
gen+decaps kyber-512,,,,,43011900.0,ns,34
gen+decaps kyber-512,,,,,44484900.0,ns,35
gen+decaps kyber-512,,,,,45287400.0,ns,36
gen+decaps kyber-512,,,,,46861800.0,ns,37
gen+decaps kyber-512,,,,,49667400.0,ns,38
gen+decaps kyber-512,,,,,49424100.0,ns,39
gen+decaps kyber-512,,,,,50387500.0,ns,40
gen+decaps kyber-512,,,,,51487500.0,ns,41
gen+decaps kyber-512,,,,,52699600.0,ns,42
gen+decaps kyber-512,,,,,54285900.0,ns,43
gen+decaps kyber-512,,,,,55793300.0,ns,44
gen+decaps kyber-512,,,,,57836000.0,ns,45
gen+decaps kyber-512,,,,,57638700.0,ns,46
gen+decaps kyber-512,,,,,59509700.0,ns,47
gen+decaps kyber-512,,,,,60855300.0,ns,48
gen+decaps kyber-512,,,,,61687800.0,ns,49
gen+decaps kyber-512,,,,,64677100.0,ns,50
gen+decaps kyber-512,,,,,63910800.0,ns,51
gen+decaps kyber-512,,,,,65274000.0,ns,52
gen+decaps kyber-512,,,,,66529500.0,ns,53
gen+decaps kyber-512,,,,,67503600.0,ns,54
gen+decaps kyber-512,,,,,68986900.0,ns,55
gen+decaps kyber-512,,,,,70503300.0,ns,56
gen+decaps kyber-512,,,,,71866800.0,ns,57
gen+decaps kyber-512,,,,,74164500.0,ns,58
gen+decaps kyber-512,,,,,74781400.0,ns,59
gen+decaps kyber-512,,,,,76594000.0,ns,60
gen+decaps kyber-512,,,,,76544800.0,ns,61
gen+decaps kyber-512,,,,,78582200.0,ns,62
gen+decaps kyber-512,,,,,79917500.0,ns,63
gen+decaps kyber-512,,,,,80696600.0,ns,64
gen+decaps kyber-512,,,,,82568900.0,ns,65
gen+decaps kyber-512,,,,,83790800.0,ns,66
gen+decaps kyber-512,,,,,97590000.0,ns,67
gen+decaps kyber-512,,,,,88084200.0,ns,68
gen+decaps kyber-512,,,,,93704300.0,ns,69
gen+decaps kyber-512,,,,,89900500.0,ns,70
gen+decaps kyber-512,,,,,89507700.0,ns,71
gen+decaps kyber-512,,,,,90846000.0,ns,72
gen+decaps kyber-512,,,,,92465800.0,ns,73
gen+decaps kyber-512,,,,,93980400.0,ns,74
gen+decaps kyber-512,,,,,96635200.0,ns,75
gen+decaps kyber-512,,,,,95969100.0,ns,76
gen+decaps kyber-512,,,,,96913600.0,ns,77
gen+decaps kyber-512,,,,,97821000.0,ns,78
gen+decaps kyber-512,,,,,100582200.0,ns,79
gen+decaps kyber-512,,,,,101048800.0,ns,80
gen+decaps kyber-512,,,,,102342700.0,ns,81
gen+decaps kyber-512,,,,,104434600.0,ns,82
gen+decaps kyber-512,,,,,107033900.0,ns,83
gen+decaps kyber-512,,,,,105475700.0,ns,84
gen+decaps kyber-512,,,,,109026400.0,ns,85
gen+decaps kyber-512,,,,,107591300.0,ns,86
gen+decaps kyber-512,,,,,113318800.0,ns,87
gen+decaps kyber-512,,,,,112112900.0,ns,88
gen+decaps kyber-512,,,,,111628500.0,ns,89
gen+decaps kyber-512,,,,,113118600.0,ns,90
gen+decaps kyber-512,,,,,114185700.0,ns,91
gen+decaps kyber-512,,,,,115882400.0,ns,92
gen+decaps kyber-512,,,,,117405600.0,ns,93
gen+decaps kyber-512,,,,,119417400.0,ns,94
gen+decaps kyber-512,,,,,119340200.0,ns,95
gen+decaps kyber-512,,,,,120892400.0,ns,96
gen+decaps kyber-512,,,,,121294600.0,ns,97
gen+decaps kyber-512,,,,,124108100.0,ns,98
gen+decaps kyber-512,,,,,126354600.0,ns,99
gen+decaps kyber-512,,,,,125740000.0,ns,100
