group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gen+decaps sike-P434,,,,,62495100.0,ns,1
gen+decaps sike-P434,,,,,122576300.0,ns,2
gen+decaps sike-P434,,,,,181700800.0,ns,3
gen+decaps sike-P434,,,,,244965200.0,ns,4
gen+decaps sike-P434,,,,,304421600.0,ns,5
gen+decaps sike-P434,,,,,364498900.0,ns,6
gen+decaps sike-P434,,,,,428748600.0,ns,7
gen+decaps sike-P434,,,,,487555100.0,ns,8
gen+decaps sike-P434,,,,,550511700.0,ns,9
gen+decaps sike-P434,,,,,609907300.0,ns,10
gen+decaps sike-P434,,,,,668664100.0,ns,11
gen+decaps sike-P434,,,,,733503400.0,ns,12
gen+decaps sike-P434,,,,,797066700.0,ns,13
gen+decaps sike-P434,,,,,859822200.0,ns,14
gen+decaps sike-P434,,,,,913889900.0,ns,15
gen+decaps sike-P434,,,,,986418200.0,ns,16
gen+decaps sike-P434,,,,,1039397800.0,ns,17
gen+decaps sike-P434,,,,,1114708600.0,ns,18
gen+decaps sike-P434,,,,,1158063800.0,ns,19
gen+decaps sike-P434,,,,,1221277100.0,ns,20
gen+decaps sike-P434,,,,,1281740100.0,ns,21
gen+decaps sike-P434,,,,,1358572500.0,ns,22
gen+decaps sike-P434,,,,,1400713300.0,ns,23
gen+decaps sike-P434,,,,,1463532400.0,ns,24
gen+decaps sike-P434,,,,,1522499600.0,ns,25
gen+decaps sike-P434,,,,,1602554000.0,ns,26
gen+decaps sike-P434,,,,,1652887800.0,ns,27
gen+decaps sike-P434,,,,,1706985000.0,ns,28
gen+decaps sike-P434,,,,,1766900200.0,ns,29
gen+decaps sike-P434,,,,,1826206200.0,ns,30
gen+decaps sike-P434,,,,,1891590100.0,ns,31
gen+decaps sike-P434,,,,,1951700900.0,ns,32
gen+decaps sike-P434,,,,,2026690200.0,ns,33
gen+decaps sike-P434,,,,,2076424000.0,ns,34
gen+decaps sike-P434,,,,,2136182000.0,ns,35
gen+decaps sike-P434,,,,,2200694400.0,ns,36
gen+decaps sike-P434,,,,,2255448800.0,ns,37
gen+decaps sike-P434,,,,,2337850900.0,ns,38
gen+decaps sike-P434,,,,,2388788300.0,ns,39
gen+decaps sike-P434,,,,,2432892400.0,ns,40
gen+decaps sike-P434,,,,,2516787100.0,ns,41
gen+decaps sike-P434,,,,,2566243800.0,ns,42
gen+decaps sike-P434,,,,,2622101000.0,ns,43
gen+decaps sike-P434,,,,,2695428400.0,ns,44
gen+decaps sike-P434,,,,,2747860100.0,ns,45
gen+decaps sike-P434,,,,,2944516900.0,ns,46
gen+decaps sike-P434,,,,,2880075000.0,ns,47
gen+decaps sike-P434,,,,,2958161200.0,ns,48
gen+decaps sike-P434,,,,,2997202400.0,ns,49
gen+decaps sike-P434,,,,,3046867500.0,ns,50
gen+decaps sike-P434,,,,,3108876600.0,ns,51
gen+decaps sike-P434,,,,,3170756600.0,ns,52
gen+decaps sike-P434,,,,,3261062800.0,ns,53
gen+decaps sike-P434,,,,,3304836300.0,ns,54
gen+decaps sike-P434,,,,,3351509400.0,ns,55
gen+decaps sike-P434,,,,,3439117000.0,ns,56
gen+decaps sike-P434,,,,,3474798600.0,ns,57
gen+decaps sike-P434,,,,,3542709300.0,ns,58
gen+decaps sike-P434,,,,,3608437400.0,ns,59
gen+decaps sike-P434,,,,,3660446100.0,ns,60
gen+decaps sike-P434,,,,,3715012700.0,ns,61
gen+decaps sike-P434,,,,,3777180800.0,ns,62
gen+decaps sike-P434,,,,,3852673300.0,ns,63
gen+decaps sike-P434,,,,,3901290500.0,ns,64
gen+decaps sike-P434,,,,,3966976400.0,ns,65
gen+decaps sike-P434,,,,,4085666800.0,ns,66
gen+decaps sike-P434,,,,,4095807400.0,ns,67
gen+decaps sike-P434,,,,,4138994000.0,ns,68
gen+decaps sike-P434,,,,,4206371000.0,ns,69
