group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
handshake_time,,,,,50781800.0,ns,1
handshake_time,,,,,89372600.0,ns,2
handshake_time,,,,,102891200.0,ns,3
handshake_time,,,,,86879100.0,ns,4
handshake_time,,,,,105737400.0,ns,5
handshake_time,,,,,112298200.0,ns,6
handshake_time,,,,,138043200.0,ns,7
handshake_time,,,,,176692900.0,ns,8
handshake_time,,,,,179366500.0,ns,9
handshake_time,,,,,190473200.0,ns,10
handshake_time,,,,,218005800.0,ns,11
handshake_time,,,,,262786400.0,ns,12
handshake_time,,,,,248389400.0,ns,13
handshake_time,,,,,253444800.0,ns,14
handshake_time,,,,,282061600.0,ns,15
handshake_time,,,,,285943800.0,ns,16
handshake_time,,,,,315417600.0,ns,17
handshake_time,,,,,320286200.0,ns,18
handshake_time,,,,,359987500.0,ns,19
handshake_time,,,,,365589100.0,ns,20
handshake_time,,,,,437251700.0,ns,21
handshake_time,,,,,412170200.0,ns,22
handshake_time,,,,,427700900.0,ns,23
handshake_time,,,,,410697700.0,ns,24
handshake_time,,,,,440147400.0,ns,25
handshake_time,,,,,545786600.0,ns,26
handshake_time,,,,,534481400.0,ns,27
handshake_time,,,,,662116700.0,ns,28
handshake_time,,,,,559801100.0,ns,29
handshake_time,,,,,550603000.0,ns,30
handshake_time,,,,,539372000.0,ns,31
handshake_time,,,,,574067000.0,ns,32
handshake_time,,,,,563748100.0,ns,33
handshake_time,,,,,613209800.0,ns,34
handshake_time,,,,,597905500.0,ns,35
handshake_time,,,,,746280300.0,ns,36
handshake_time,,,,,696634800.0,ns,37
handshake_time,,,,,714224200.0,ns,38
handshake_time,,,,,716031500.0,ns,39
handshake_time,,,,,746664300.0,ns,40
handshake_time,,,,,890672900.0,ns,41
handshake_time,,,,,859443900.0,ns,42
handshake_time,,,,,787540600.0,ns,43
handshake_time,,,,,890610200.0,ns,44
handshake_time,,,,,799769200.0,ns,45
handshake_time,,,,,893347900.0,ns,46
handshake_time,,,,,888086900.0,ns,47
handshake_time,,,,,1029124700.0,ns,48
handshake_time,,,,,885569700.0,ns,49
handshake_time,,,,,956936800.0,ns,50
handshake_time,,,,,922816100.0,ns,51
handshake_time,,,,,936426000.0,ns,52
handshake_time,,,,,978997500.0,ns,53
handshake_time,,,,,1215837100.0,ns,54
handshake_time,,,,,975260900.0,ns,55
handshake_time,,,,,1057738300.0,ns,56
handshake_time,,,,,1069168400.0,ns,57
handshake_time,,,,,1110778900.0,ns,58
handshake_time,,,,,1047479700.0,ns,59
handshake_time,,,,,1060293100.0,ns,60
handshake_time,,,,,1180759500.0,ns,61
handshake_time,,,,,1375759000.0,ns,62
handshake_time,,,,,1299395300.0,ns,63
handshake_time,,,,,1178555000.0,ns,64
handshake_time,,,,,1572053300.0,ns,65
handshake_time,,,,,1385047700.0,ns,66
handshake_time,,,,,1175285800.0,ns,67
handshake_time,,,,,1482516800.0,ns,68
handshake_time,,,,,1281234100.0,ns,69
handshake_time,,,,,1471383100.0,ns,70
handshake_time,,,,,1342380400.0,ns,71
handshake_time,,,,,1651081400.0,ns,72
handshake_time,,,,,1440118500.0,ns,73
handshake_time,,,,,1486660700.0,ns,74
handshake_time,,,,,1403457500.0,ns,75
handshake_time,,,,,1478616000.0,ns,76
handshake_time,,,,,1413453400.0,ns,77
handshake_time,,,,,1582239800.0,ns,78
handshake_time,,,,,1819008200.0,ns,79
handshake_time,,,,,1747519700.0,ns,80
handshake_time,,,,,1460868900.0,ns,81
handshake_time,,,,,1692283600.0,ns,82
handshake_time,,,,,1683143300.0,ns,83
handshake_time,,,,,1702863400.0,ns,84
handshake_time,,,,,1860083200.0,ns,85
handshake_time,,,,,1695072900.0,ns,86
handshake_time,,,,,1775873700.0,ns,87
handshake_time,,,,,1971881700.0,ns,88
handshake_time,,,,,1735992400.0,ns,89
handshake_time,,,,,1794247300.0,ns,90
handshake_time,,,,,1887777900.0,ns,91
handshake_time,,,,,2001236700.0,ns,92
handshake_time,,,,,2008483300.0,ns,93
handshake_time,,,,,2293933600.0,ns,94
handshake_time,,,,,1965368200.0,ns,95
handshake_time,,,,,2530329800.0,ns,96
handshake_time,,,,,2100033700.0,ns,97
handshake_time,,,,,2215111400.0,ns,98
handshake_time,,,,,2019664400.0,ns,99
handshake_time,,,,,2087055300.0,ns,100
