group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
handshake_time,,,,,3712000.0,ns,1
handshake_time,,,,,7200200.0,ns,2
handshake_time,,,,,10535700.0,ns,3
handshake_time,,,,,14178500.0,ns,4
handshake_time,,,,,18024900.0,ns,5
handshake_time,,,,,21831700.0,ns,6
handshake_time,,,,,24597100.0,ns,7
handshake_time,,,,,32725900.0,ns,8
handshake_time,,,,,38854100.0,ns,9
handshake_time,,,,,36466400.0,ns,10
handshake_time,,,,,46947700.0,ns,11
handshake_time,,,,,51089800.0,ns,12
handshake_time,,,,,47781200.0,ns,13
handshake_time,,,,,48586900.0,ns,14
handshake_time,,,,,58886300.0,ns,15
handshake_time,,,,,53680900.0,ns,16
handshake_time,,,,,56849900.0,ns,17
handshake_time,,,,,63990300.0,ns,18
handshake_time,,,,,71936500.0,ns,19
handshake_time,,,,,84062900.0,ns,20
handshake_time,,,,,75710300.0,ns,21
handshake_time,,,,,82297300.0,ns,22
handshake_time,,,,,76460200.0,ns,23
handshake_time,,,,,79038300.0,ns,24
handshake_time,,,,,96354900.0,ns,25
handshake_time,,,,,86021500.0,ns,26
handshake_time,,,,,91281800.0,ns,27
handshake_time,,,,,97157900.0,ns,28
handshake_time,,,,,96345400.0,ns,29
handshake_time,,,,,107049300.0,ns,30
handshake_time,,,,,107139800.0,ns,31
handshake_time,,,,,113241800.0,ns,32
handshake_time,,,,,127396100.0,ns,33
handshake_time,,,,,125529700.0,ns,34
handshake_time,,,,,115869200.0,ns,35
handshake_time,,,,,117788100.0,ns,36
handshake_time,,,,,134300100.0,ns,37
handshake_time,,,,,132789100.0,ns,38
handshake_time,,,,,127724100.0,ns,39
handshake_time,,,,,135087300.0,ns,40
handshake_time,,,,,134436900.0,ns,41
handshake_time,,,,,141427500.0,ns,42
handshake_time,,,,,148964400.0,ns,43
handshake_time,,,,,152635900.0,ns,44
handshake_time,,,,,155262700.0,ns,45
handshake_time,,,,,157150000.0,ns,46
handshake_time,,,,,163894800.0,ns,47
handshake_time,,,,,158929300.0,ns,48
handshake_time,,,,,177976500.0,ns,49
handshake_time,,,,,172273500.0,ns,50
handshake_time,,,,,166234700.0,ns,51
handshake_time,,,,,191379600.0,ns,52
handshake_time,,,,,183607600.0,ns,53
handshake_time,,,,,185333600.0,ns,54
handshake_time,,,,,195720200.0,ns,55
handshake_time,,,,,193813200.0,ns,56
handshake_time,,,,,196263700.0,ns,57
handshake_time,,,,,202434200.0,ns,58
handshake_time,,,,,193211300.0,ns,59
handshake_time,,,,,203147800.0,ns,60
handshake_time,,,,,223329600.0,ns,61
handshake_time,,,,,210370800.0,ns,62
handshake_time,,,,,215628300.0,ns,63
handshake_time,,,,,228690000.0,ns,64
handshake_time,,,,,236460200.0,ns,65
handshake_time,,,,,225584600.0,ns,66
handshake_time,,,,,231933800.0,ns,67
handshake_time,,,,,229350400.0,ns,68
handshake_time,,,,,226545500.0,ns,69
handshake_time,,,,,263441900.0,ns,70
handshake_time,,,,,232277200.0,ns,71
handshake_time,,,,,234678900.0,ns,72
handshake_time,,,,,260142400.0,ns,73
handshake_time,,,,,257394800.0,ns,74
handshake_time,,,,,253099800.0,ns,75
handshake_time,,,,,271689800.0,ns,76
handshake_time,,,,,262739900.0,ns,77
handshake_time,,,,,272568900.0,ns,78
handshake_time,,,,,266569600.0,ns,79
handshake_time,,,,,280033200.0,ns,80
handshake_time,,,,,282038600.0,ns,81
handshake_time,,,,,268033000.0,ns,82
handshake_time,,,,,294573300.0,ns,83
handshake_time,,,,,283611500.0,ns,84
handshake_time,,,,,278432500.0,ns,85
handshake_time,,,,,287891200.0,ns,86
handshake_time,,,,,327477000.0,ns,87
handshake_time,,,,,289686500.0,ns,88
handshake_time,,,,,315157200.0,ns,89
handshake_time,,,,,321650800.0,ns,90
handshake_time,,,,,305916600.0,ns,91
handshake_time,,,,,310051400.0,ns,92
handshake_time,,,,,312262300.0,ns,93
handshake_time,,,,,326039200.0,ns,94
handshake_time,,,,,309428800.0,ns,95
handshake_time,,,,,323944800.0,ns,96
handshake_time,,,,,323419300.0,ns,97
handshake_time,,,,,331078500.0,ns,98
handshake_time,,,,,334713300.0,ns,99
handshake_time,,,,,333779700.0,ns,100
