group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
handshake_time,,,,,1634000.0,ns,1
handshake_time,,,,,2381300.0,ns,2
handshake_time,,,,,3825500.0,ns,3
handshake_time,,,,,4773800.0,ns,4
handshake_time,,,,,6080400.0,ns,5
handshake_time,,,,,17587700.0,ns,6
handshake_time,,,,,10041100.0,ns,7
handshake_time,,,,,9905100.0,ns,8
handshake_time,,,,,10554300.0,ns,9
handshake_time,,,,,22220500.0,ns,10
handshake_time,,,,,14902100.0,ns,11
handshake_time,,,,,14812600.0,ns,12
handshake_time,,,,,24190100.0,ns,13
handshake_time,,,,,28821200.0,ns,14
handshake_time,,,,,25625000.0,ns,15
handshake_time,,,,,20675900.0,ns,16
handshake_time,,,,,29586700.0,ns,17
handshake_time,,,,,32541600.0,ns,18
handshake_time,,,,,32106200.0,ns,19
handshake_time,,,,,24065700.0,ns,20
handshake_time,,,,,44479900.0,ns,21
handshake_time,,,,,25473300.0,ns,22
handshake_time,,,,,27263500.0,ns,23
handshake_time,,,,,29320600.0,ns,24
handshake_time,,,,,49491700.0,ns,25
handshake_time,,,,,56874700.0,ns,26
handshake_time,,,,,41255600.0,ns,27
handshake_time,,,,,33099800.0,ns,28
handshake_time,,,,,52672500.0,ns,29
handshake_time,,,,,35852700.0,ns,30
handshake_time,,,,,35034100.0,ns,31
handshake_time,,,,,35585700.0,ns,32
handshake_time,,,,,57906800.0,ns,33
handshake_time,,,,,38305700.0,ns,34
handshake_time,,,,,50286100.0,ns,35
handshake_time,,,,,72797900.0,ns,36
handshake_time,,,,,41037700.0,ns,37
handshake_time,,,,,46293700.0,ns,38
handshake_time,,,,,64239800.0,ns,39
handshake_time,,,,,43186600.0,ns,40
handshake_time,,,,,55553300.0,ns,41
handshake_time,,,,,67616400.0,ns,42
handshake_time,,,,,68825200.0,ns,43
handshake_time,,,,,47405400.0,ns,44
handshake_time,,,,,66726400.0,ns,45
handshake_time,,,,,71899000.0,ns,46
handshake_time,,,,,60682500.0,ns,47
handshake_time,,,,,60159300.0,ns,48
handshake_time,,,,,74529400.0,ns,49
handshake_time,,,,,71981100.0,ns,50
handshake_time,,,,,106317200.0,ns,51
handshake_time,,,,,104758400.0,ns,52
handshake_time,,,,,69024000.0,ns,53
handshake_time,,,,,87460500.0,ns,54
handshake_time,,,,,70027800.0,ns,55
handshake_time,,,,,90528800.0,ns,56
handshake_time,,,,,80899900.0,ns,57
handshake_time,,,,,61036700.0,ns,58
handshake_time,,,,,91277400.0,ns,59
handshake_time,,,,,104567100.0,ns,60
handshake_time,,,,,86883900.0,ns,61
handshake_time,,,,,65239700.0,ns,62
handshake_time,,,,,88319600.0,ns,63
handshake_time,,,,,113154800.0,ns,64
handshake_time,,,,,82397300.0,ns,65
handshake_time,,,,,89701800.0,ns,66
handshake_time,,,,,82391000.0,ns,67
handshake_time,,,,,90202700.0,ns,68
handshake_time,,,,,94043100.0,ns,69
handshake_time,,,,,85965700.0,ns,70
handshake_time,,,,,84843300.0,ns,71
handshake_time,,,,,97172600.0,ns,72
handshake_time,,,,,110714400.0,ns,73
handshake_time,,,,,110507500.0,ns,74
handshake_time,,,,,97138900.0,ns,75
handshake_time,,,,,100622400.0,ns,76
handshake_time,,,,,93656400.0,ns,77
handshake_time,,,,,111554400.0,ns,78
handshake_time,,,,,113292000.0,ns,79
handshake_time,,,,,116925300.0,ns,80
handshake_time,,,,,107412100.0,ns,81
handshake_time,,,,,144892000.0,ns,82
handshake_time,,,,,108377200.0,ns,83
handshake_time,,,,,85117600.0,ns,84
handshake_time,,,,,93832900.0,ns,85
handshake_time,,,,,95620300.0,ns,86
handshake_time,,,,,98633400.0,ns,87
handshake_time,,,,,103114400.0,ns,88
handshake_time,,,,,136211800.0,ns,89
handshake_time,,,,,102113800.0,ns,90
handshake_time,,,,,142650200.0,ns,91
handshake_time,,,,,104266800.0,ns,92
handshake_time,,,,,135415600.0,ns,93
handshake_time,,,,,138847900.0,ns,94
handshake_time,,,,,129060400.0,ns,95
handshake_time,,,,,121165100.0,ns,96
handshake_time,,,,,132531900.0,ns,97
handshake_time,,,,,114508300.0,ns,98
handshake_time,,,,,172304300.0,ns,99
handshake_time,,,,,105954200.0,ns,100
